NUMERO_POLICE,DATE_EFFET,DATE_EXPIRATION,TYPE,Wilaya,commune_du_risque,VALEUR_ASSURÉE,PRIME_NETTE,source_sheet,year,wilaya_code,wilaya_name,commune_name,prime_rate,zone_sismique,zone_source,lat,lon,coordinate_source,zone_match_method,zone_num
31310003230234,2023-06-12,2024-06-11,Bien immobilier,,1003 - BIR EL DJIR,2485000.0,1615.25,2023,2023,,,BIR EL DJIR,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
35303043230022,2023-01-18,2024-01-17,Bien immobilier,,450 - BOUMERDES,2745500.0,2059.12,2023,2023,,,BOUMERDES,0.000749998178838,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003230004,2023-01-04,2024-01-03,Bien immobilier,,726 - KHENCHELA,2326240.0,1500.0,2023,2023,,,KHENCHELA,0.0006448173877157,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003230066,2023-05-22,2024-05-21,Bien immobilier,,726 - KHENCHELA,4032000.0,2419.2,2023,2023,,,KHENCHELA,0.0006,UNKNOWN,unknown,,,,missing_wilaya,-1
43302013230005,2023-01-16,2024-01-15,Bien immobilier,,901 - ZEGHAIA,560000.0,1500.0,2023,2023,,,ZEGHAIA,0.0026785714285714,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003230450,2023-10-09,2024-10-08,Bien immobilier,,1315 - TAMANRASSET,3136000.0,2069.76,2023,2023,,,TAMANRASSET,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003230560,2023-12-14,2024-12-13,Bien immobilier,,1315 - TAMANRASSET,4760000.0,3141.6,2023,2023,,,TAMANRASSET,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003230194,2023-05-10,2024-05-09,Bien immobilier,,1003 - BIR EL DJIR,2253650.0,1500.0,2023,2023,,,BIR EL DJIR,0.000665586936747,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003230709,2023-07-18,2024-07-17,Bien immobilier,,700 - JIJEL,451050.0,1500.0,2023,2023,,,JIJEL,0.0033255736614566,UNKNOWN,unknown,,,,missing_wilaya,-1
19310003230099,2023-05-26,2024-05-25,Bien immobilier,,1182 - SETIF,2100000.0,1500.0,2023,2023,,,SETIF,0.0007142857142857,UNKNOWN,unknown,,,,missing_wilaya,-1
19306003230002,2023-01-01,2023-12-31,Bien immobilier,,1145 - BENI FOUDA,1750000.0,1800.0,2023,2023,,,BENI FOUDA,0.0010285714285714,UNKNOWN,unknown,,,,missing_wilaya,-1
15303033230012,2023-04-09,2024-04-08,Bien immobilier,,1485 - MAATKA,1400000.0,1500.0,2023,2023,,,MAATKA,0.0010714285714285,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003230789,2023-08-11,2024-08-10,Bien immobilier,,691 - CHEKFA,18600000.0,12090.0,2023,2023,,,CHEKFA,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003230058,2023-05-03,2024-05-02,Bien immobilier,,726 - KHENCHELA,2232000.0,1500.0,2023,2023,,,KHENCHELA,0.0006720430107526,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003230225,2023-05-31,2024-05-30,Bien immobilier,,1003 - BIR EL DJIR,2709350.0,1761.08,2023,2023,,,BIR EL DJIR,0.0006500009227305,UNKNOWN,unknown,,,,missing_wilaya,-1
15303033230025,2023-05-30,2024-05-29,Bien immobilier,,1485 - MAATKA,1120000.0,1500.0,2023,2023,,,MAATKA,0.0013392857142857,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003230192,2023-02-17,2024-02-16,Bien immobilier,,710 - TAHER,3720000.0,2418.0,2023,2023,,,TAHER,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
31312003230039,2024-01-01,2024-12-31,Bien immobilier,,1012 - GDYEL,2205000.0,1500.0,2023,2024,,,GDYEL,0.0006802721088435,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003230461,2023-11-28,2024-11-27,Bien immobilier,,1019 - ORAN,2177000.0,1500.0,2023,2023,,,ORAN,0.0006890215893431,UNKNOWN,unknown,,,,missing_wilaya,-1
34205003230104,2023-05-29,2024-05-28,Bien immobilier,,368 - BORDJ BOU ARRERIDJ,5250000.0,3412.5,2023,2023,,,BORDJ BOU ARRERIDJ,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
31208003230049,2023-11-23,2024-11-22,Bien immobilier,,1019 - ORAN,2321590.0,1509.03,2023,2023,,,ORAN,0.0006499984924125,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003230121,2023-09-21,2024-09-20,Bien immobilier,,726 - KHENCHELA,2379250.0,1500.0,2023,2023,,,KHENCHELA,0.0006304507723021,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003230564,2023-12-17,2024-12-16,Bien immobilier,,1315 - TAMANRASSET,3864000.0,2550.24,2023,2023,,,TAMANRASSET,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003230741,2023-07-27,2024-07-26,Bien immobilier,,703 - OUDJANA,2790000.0,1813.5,2023,2023,,,OUDJANA,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003230114,2023-03-20,2024-03-19,Bien immobilier,,1003 - BIR EL DJIR,1890000.0,1500.0,2023,2023,,,BIR EL DJIR,0.0007936507936507,UNKNOWN,unknown,,,,missing_wilaya,-1
16330013230325,2023-09-19,2024-09-18,Bien immobilier,,339 - BEN KHELIL,1175000.0,1500.0,2023,2023,,,BEN KHELIL,0.0012765957446808,UNKNOWN,unknown,,,,missing_wilaya,-1
3202003230164,2023-05-24,2024-05-23,Bien immobilier,,755 - SIDI MAKHLOUF,1240000.0,1500.0,2023,2023,,,SIDI MAKHLOUF,0.0012096774193548,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003240089,2024-07-08,2025-07-07,Bien immobilier,,726 - KHENCHELA,2976000.0,1785.6,2024,2024,,,KHENCHELA,0.0006,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003240039,2024-03-21,2025-03-20,Bien immobilier,,726 - KHENCHELA,1550000.0,1500.0,2024,2024,,,KHENCHELA,0.0009677419354838,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240250,2024-07-14,2025-07-13,Bien immobilier,,118 - CHERAGA ALGER,4530800.0,3398.1,2024,2024,,,CHERAGA ALGER,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003240755,2024-12-24,2025-12-23,Bien immobilier,,1316 - TAZROUK,4480000.0,2956.8,2024,2024,,,TAZROUK,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
15304003240086,2024-03-06,2025-03-05,Bien immobilier,,1503 - TIZI OUZOU,4200000.0,2730.0,2024,2024,,,TIZI OUZOU,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
19308003240932,2024-09-18,2025-09-17,Bien immobilier,,1158 - EL EULMA,7000000.0,4550.0,2024,2024,,,EL EULMA,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
34205003240191,2024-10-11,2025-10-10,Bien immobilier,,368 - BORDJ BOU ARRERIDJ,2480000.0,1612.0,2024,2024,,,BORDJ BOU ARRERIDJ,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003240225,2024-03-25,2025-03-24,Bien immobilier,,1315 - TAMANRASSET,1120000.0,1800.0,2024,2024,,,TAMANRASSET,0.0016071428571428,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240055,2024-02-04,2025-02-03,Bien immobilier,,1411 - MEURAD,2660000.0,1995.0,2024,2024,,,MEURAD,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240091,2024-03-05,2025-03-04,Bien immobilier,,110 - BIR MOURAD RAIS,1410000.0,1500.0,2024,2024,,,BIR MOURAD RAIS,0.001063829787234,UNKNOWN,unknown,,,,missing_wilaya,-1
16336003240123,2024-06-26,2025-06-25,Bien immobilier,,448 - BOUDOUAOU,3192000.0,2394.0,2024,2024,,,BOUDOUAOU,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240492,2024-09-30,2025-09-29,Bien immobilier,,1417 - TIPAZA,3053680.0,2290.26,2024,2024,,,TIPAZA,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240354,2024-10-13,2025-10-12,Bien immobilier,,99  - ALGER,3384000.0,2538.0,2024,2024,,,ALGER,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240369,2024-07-08,2025-07-07,Bien immobilier,,103 - BACH DJERRAH,7050000.0,5287.5,2024,2024,,,BACH DJERRAH,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
23211003240019,2024-11-06,2025-11-05,Bien immobilier,,162 - EL BOUNI,3181500.0,2067.98,2024,2024,,,EL BOUNI,0.0006500015715857,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240422,2024-08-07,2025-08-06,2 - Installation Commerciale,,1398 - CHERCHEL,1000000.0,2500.0,2024,2024,,,CHERCHEL,0.0025,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003240371,2024-07-10,2025-07-09,Bien immobilier,,1315 - TAMANRASSET,6048000.0,3991.68,2024,2024,,,TAMANRASSET,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003240852,2024-08-22,2025-08-21,Bien immobilier,,700 - JIJEL,2170000.0,1500.0,2024,2024,,,JIJEL,0.0006912442396313,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240242,2024-07-10,2025-07-09,Bien immobilier,,118 - CHERAGA ALGER,5170000.0,3877.5,2024,2024,,,CHERAGA ALGER,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240270,2024-07-31,2025-07-30,Bien immobilier,,118 - CHERAGA ALGER,1254900.0,1500.0,2024,2024,,,CHERAGA ALGER,0.0011953143676786,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240389,2024-07-21,2025-07-20,2 - Installation Commerciale,,1417 - TIPAZA,1000000.0,2500.0,2024,2024,,,TIPAZA,0.0025,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240476,2024-12-29,2025-12-28,Bien immobilier,,107 - BEN AKNOUN,2988700.0,2241.52,2024,2024,,,BEN AKNOUN,0.0007499983270318,UNKNOWN,unknown,,,,missing_wilaya,-1
31201003240026,2024-03-19,2025-03-18,Bien immobilier,,1019 - ORAN,2669720.0,1735.32,2024,2024,,,ORAN,0.0006500007491422,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003240087,2024-07-04,2025-07-03,Bien immobilier,,726 - KHENCHELA,496000.0,1500.0,2024,2024,,,KHENCHELA,0.003024193548387,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003240156,2024-02-27,2025-02-26,Bien immobilier,,1315 - TAMANRASSET,5320000.0,3511.2,2024,2024,,,TAMANRASSET,0.00066,UNKNOWN,unknown,,,,missing_wilaya,-1
11301003240536,2024-10-02,2025-10-01,Bien immobilier,,1313 - IN GUEZZAM,840000.0,1800.0,2024,2024,,,IN GUEZZAM,0.0021428571428571,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240638,2024-12-22,2025-12-21,Bien immobilier,,1398 - CHERCHEL,2675200.0,2006.4,2024,2024,,,CHERCHEL,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003240420,2024-04-24,2025-04-23,Bien immobilier,,710 - TAHER,775000.0,1500.0,2024,2024,,,TAHER,0.0019354838709677,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003240425,2024-09-26,2025-09-25,Bien immobilier,,1019 - ORAN,1542560.0,1500.0,2024,2024,,,ORAN,0.000972409501089,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240225,2024-06-23,2025-06-22,Bien immobilier,,130 - EL MOURADIA,3854000.0,2890.5,2024,2024,,,EL MOURADIA,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
16336003240036,2024-02-25,2025-02-24,Bien immobilier,,1401 - FOUKA,2939300.0,2204.48,2024,2024,,,FOUKA,0.0007500017010852,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240499,2024-10-01,2025-09-30,Bien immobilier,,1415 - SIDI RACHED,4230000.0,3172.5,2024,2024,,,SIDI RACHED,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003240203,2024-05-22,2025-05-21,Bien immobilier,,1003 - BIR EL DJIR,624750.0,1500.0,2024,2024,,,BIR EL DJIR,0.0024009603841536,UNKNOWN,unknown,,,,missing_wilaya,-1
15308003240319,2024-06-03,2025-06-02,Bien immobilier,,1465 - BENI ZMENZER,1050000.0,1500.0,2024,2024,,,BENI ZMENZER,0.0014285714285714,UNKNOWN,unknown,,,,missing_wilaya,-1
31310003240493,2024-10-28,2025-10-27,Bien immobilier,,1019 - ORAN,3162000.0,2055.3,2024,2024,,,ORAN,0.00065,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003240127,2024-10-09,2025-10-08,Bien immobilier,,726 - KHENCHELA,310000.0,1500.0,2024,2024,,,KHENCHELA,0.0048387096774193,UNKNOWN,unknown,,,,missing_wilaya,-1
28305003240262,2024-11-01,2025-10-31,Bien immobilier,,962 - MSILA,2332750.0,1516.29,2024,2024,,,MSILA,0.0006500010716964,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003240301,2024-03-18,2025-03-17,Bien immobilier,,685 - BORDJ TAHER,775000.0,1500.0,2024,2024,,,BORDJ TAHER,0.0019354838709677,UNKNOWN,unknown,,,,missing_wilaya,-1
40301003240068,2024-05-27,2025-05-26,Bien immobilier,,726 - KHENCHELA,930000.0,1500.0,2024,2024,,,KHENCHELA,0.0016129032258064,UNKNOWN,unknown,,,,missing_wilaya,-1
15308003240043,2024-01-19,2025-01-18,Bien immobilier,,1503 - TIZI OUZOU,868000.0,1500.0,2024,2024,,,TIZI OUZOU,0.0017281105990783,UNKNOWN,unknown,,,,missing_wilaya,-1
31201003240063,2024-09-01,2025-08-31,Bien immobilier,,1019 - ORAN,4816160.0,3130.5,2024,2024,,,ORAN,0.0006499991694628,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240102,2024-03-11,2025-03-10,Bien immobilier,,134 - HYDRA,1316000.0,1500.0,2024,2024,,,HYDRA,0.0011398176291793,UNKNOWN,unknown,,,,missing_wilaya,-1
31210003240112,2024-12-25,2025-12-24,Bien immobilier,,1003 - BIR EL DJIR,2512240.0,1632.96,2024,2024,,,BIR EL DJIR,0.0006500015922045,UNKNOWN,unknown,,,,missing_wilaya,-1
18301003240814,2024-08-14,2025-08-13,Bien immobilier,,698 - EMIR ABDELKADER,620000.0,1500.0,2024,2024,,,EMIR ABDELKADER,0.0024193548387096,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240654,2024-12-31,2025-12-30,Bien immobilier,,340 - BENI MERED,2660000.0,1995.0,2024,2024,,,BENI MERED,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240423,2024-08-07,2025-08-06,2 - Installation Commerciale,,1402 - GOURAYA,1000000.0,2500.0,2024,2024,,,GOURAYA,0.0025,UNKNOWN,unknown,,,,missing_wilaya,-1
42304003240462,2024-09-10,2025-09-09,Bien immobilier,,1402 - GOURAYA,2660000.0,1995.0,2024,2024,,,GOURAYA,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
42303003240031,2024-03-04,2025-03-03,2 - Installation Commerciale,,1394 - BOU ISMAIL,2000000.0,2500.0,2024,2024,,,BOU ISMAIL,0.00125,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240241,2024-07-02,2025-07-01,Bien immobilier,,151 - SOUIDANIA,1833000.0,1500.0,2024,2024,,,SOUIDANIA,0.0008183306055646,UNKNOWN,unknown,,,,missing_wilaya,-1
16242003240112,2024-10-12,2025-10-11,Bien immobilier,,125 - EL BIAR,3306000.0,2479.5,2024,2024,,,EL BIAR,0.00075,UNKNOWN,unknown,,,,missing_wilaya,-1
30301003240045,2024-11-18,2025-11-17,Bien immobilier,,1031 - HASSI MESSAOUD,1960000.0,1800.0,2024,2024,,,HASSI MESSAOUD,0.0009183673469387,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240231,2024-06-24,2025-06-23,Bien immobilier,,118 - CHERAGA ALGER,423000.0,1500.0,2024,2024,,,CHERAGA ALGER,0.0035460992907801,UNKNOWN,unknown,,,,missing_wilaya,-1
16334003240330,2024-10-01,2025-09-30,Bien immobilier,,127 - EL MADANIA,3053590.0,2290.19,2024,2024,,,EL MADANIA,0.0007499991812915,UNKNOWN,unknown,,,,missing_wilaya,-1
