feature,importance
log_valeur_assuree,30.72626523879541
premium_adequacy_ratio,18.0718223415718
zone_num,15.22267996214252
zone_sismique,8.944999637476915
log_prime_nette,7.577296378969007
wilaya_code,7.419963551617371
construction_type,3.6407800137553377
type_risque,3.297993632704387
prime_rate,2.6150541166843912
commune_name,1.6238171021098957
duration_days,0.6412671470538802
year,0.21806087711909425
